player_name,number,height_cm
Jordan Farmar,PG,
Derrick Favors,PF,
Dan Gadzuric,PF,
Sundiata Gaines,PG,
Stephen Graham,SG,
Orien Greene,SG,
Devin Harris,PG,
Kris Humphries,PF,
Damion James,SF,
Brook Lopez,C,
Anthony Morrow,SG,
Troy Murphy,PF,
Travis Outlaw,SF,
Johan Petro,C,
Quinton Ross,SF,
Joe Smith,PF,
Ben Uzoh,PG,
Sasha VujaÄiÄ,SG,
Mario West,SG,
Deron Williams,PG,
Terrence Williams,SG,
Brandan Wright,PF,
