player_name,number,height_cm
Nickeil Alexander-Walker,SG,
Udoka Azubuike,C,
Bojan BogdanoviÄ,PF,
Jared Butler,SG,
Zylan Cheatham,SF,
Jordan Clarkson,SG,
Mike Conley,PG,
Malik Fitts,PF,
Trent Forrest,PG,
Rudy Gay,PF,
Rudy Gobert,C,
Juancho HernangÃ³mez,PF,
Danuel House Jr.,SF,
Elijah Hughes,SF,
Joe Ingles,SF,
Donovan Mitchell,SG,
Greg Monroe,C,
Royce O'Neale,SF,
Miye Oni,SG,
Eric Paschall,PF,
Norvel Pelle,C,
Xavier Sneed,SF,
Denzel Valentine,SG,
Hassan Whiteside,C,
