player_name,number,height_cm
LaMarcus Aldridge,C,
Jarrett Allen,C,
Bruce Brown,PG,
Chris Chiozza,PG,
Nic Claxton,C,
Tyler Cook,PF,
Spencer Dinwiddie,SG,
Kevin Durant,PF,
Jeff Green,PF,
Blake Griffin,PF,
James Harden,PG,
Joe Harris,SF,
Kyrie Irving,PG,
Mike James,PG,
Alize Johnson,PF,
Tyler Johnson,SG,
DeAndre Jordan,C,
Rodions Kurucs,PF,
Caris LeVert,SG,
Timoth̩ Luwawu-Cabarrot,SF,
Norvel Pelle,C,
Reggie Perry,PF,
Taurean Prince,PF,
Andre Roberson,SG,
Landry Shamet,SG,
Iman Shumpert,SG,
Noah Vonleh,C,
