player_name,number,height_cm
Jordan Bell,C,
Andrew Bogut,C,
Quinn Cook,PG,
DeMarcus Cousins,C,
Stephen Curry,PG,
Marcus Derrickson,PF,
Kevin Durant,SF,
Jacob Evans,SG,
Draymond Green,PF,
Andre Iguodala,SF,
Jonas Jerebko,PF,
Damian Jones,C,
Damion Lee,SG,
Shaun Livingston,PG,
Kevon Looney,C,
Alfonzo McKinnie,SF,
Klay Thompson,SG,
