player_name,number,height_cm
Jimmy Butler,SF,
Isaiah Canaan,SG,
Michael Carter-Williams,PG,
Cristiano FelÃ­cio,C,
Taj Gibson,PF,
Jerian Grant,PG,
R.J. Hunter,SG,
Joffrey Lauvergne,C,
Robin Lopez,C,
Doug McDermott,SF,
Nikola MirotiÄ,PF,
Anthony Morrow,SG,
Cameron Payne,PG,
Bobby Portis,PF,
Rajon Rondo,PG,
Denzel Valentine,SG,
Dwyane Wade,SG,
Paul Zipser,SF,
