player_name,number,height_cm
LaMarcus Aldridge,PF,
Kyle Anderson,SF,
Matt Bonner,C,
Rasual Butler,SF,
Boris Diaw,PF,
Tim Duncan,C,
Manu GinÃ³bili,SG,
Danny Green,SG,
Kawhi Leonard,SF,
Boban MarjanoviÄ,C,
Kevin Martin,SG,
Ray McCallum,PG,
Andre Miller,PG,
Patty Mills,PG,
Tony Parker,PG,
Jonathon Simmons,SG,
David West,PF,
