player_name,number,height_cm
Precious Achiuwa,C,
Ochai Agbaji,SG,
OG Anunoby,SF,
Scottie Barnes,SG,
RJ Barrett,SG,
Chris Boucher,PF,
Bruce Brown,PG,
D.J. Carton,SG,
Gradey Dick,SG,
Malachi Flynn,PG,
Javon Freeman-Liberty,PG,
Mouhamadou Gueye,PF,
Ron Harper Jr.,PF,
Kira Lewis Jr.,PG,
Jalen McDaniels,SF,
Markquis Nowell,SG,
Jordan Nwora,SF,
Kelly Olynyk,C,
Jakob Poeltl,C,
Jontay Porter,PF,
Otto Porter Jr.,SF,
Immanuel Quickley,PG,
Jahmi'us Ramsey,SG,
Dennis Schr̦der,PG,
Pascal Siakam,PF,
Kobi Simmons,PG,
Garrett Temple,SG,
Gary Trent Jr.,SG,
Malik Williams,C,
Thaddeus Young,PF,
