player_name,number,height_cm
Nickeil Alexander-Walker,SG,
Kyle Anderson,PF,
Troy Brown Jr.,SF,
Mike Conley,PG,
Anthony Edwards,SG,
Luka Garza,C,
Rudy Gobert,C,
Justin Jackson,SF,
Jaden McDaniels,SF,
Jordan McLaughlin,PG,
Leonard Miller,SF,
Shake Milton,SG,
Josh Minott,SF,
Wendell Moore Jr.,SG,
Monte Morris,PG,
Daishen Nix,PG,
Naz Reid,C,
Karl-Anthony Towns,PF,
T.J. Warren,SF,
