player_name,number,height_cm
Esteban Batista,PF,
Cedric Bozeman,SG,
Josh Childress,SG,
Speedy Claxton,PG,
Matt Freije,PF,
Royal Ivey,PG,
Anthony Johnson,PG,
Joe Johnson,SG,
Solomon Jones,PF,
Tyronn Lue,PG,
Stanislav Medvedenko,C,
Zaza Pachulia,C,
Jeremy Richardson,SG,
Josh Smith,SF,
Salim Stoudamire,SG,
Dijon Thompson,SF,
Marvin Williams,PF,
Shelden Williams,PF,
Lorenzen Wright,C,
