Year,PlayerName,JerseyNumber,PlayerURL
1967,Darrall Imhoff,14,https://www.basketball-reference.com/players/i/imhofda01.html
1967,Rudy LaRusso,35,https://www.basketball-reference.com/players/l/larusru01.html
1967,Jerry West,44,https://www.basketball-reference.com/players/w/westje01.html
1968,Cliff Anderson,30,https://www.basketball-reference.com/players/a/andercl01.html
1968,Jim Barnes,23,https://www.basketball-reference.com/players/b/barneji01.html
1968,Elgin Baylor,22,https://www.basketball-reference.com/players/b/bayloel01.html
1968,Archie Clark,21,https://www.basketball-reference.com/players/c/clarkar01.html
1968,Mel Counts,31,https://www.basketball-reference.com/players/c/countme01.html
1968,Freddie Crawford,12,https://www.basketball-reference.com/players/c/crawffr01.html
1968,Gail Goodrich,11,https://www.basketball-reference.com/players/g/goodrga01.html
1968,Dennis Hamilton,52,https://www.basketball-reference.com/players/h/hamilde01.html
1968,Tom Hawkins,33,https://www.basketball-reference.com/players/h/hawkito01.html
1968,Darrall Imhoff,14,https://www.basketball-reference.com/players/i/imhofda01.html
1968,Erwin Mueller,34,https://www.basketball-reference.com/players/m/mueller01.html
1968,Jerry West,44,https://www.basketball-reference.com/players/w/westje01.html
1968,John Wetzel,24,https://www.basketball-reference.com/players/w/wetzejo01.html
1969,Cliff Anderson,40,https://www.basketball-reference.com/players/a/andercl01.html
1969,Elgin Baylor,22,https://www.basketball-reference.com/players/b/bayloel01.html
1969,Jay Carty,52,https://www.basketball-reference.com/players/c/cartyja01.html
1969,Wilt Chamberlain,13,https://www.basketball-reference.com/players/c/chambwi01.html
1969,Mel Counts,31,https://www.basketball-reference.com/players/c/countme01.html
1969,Freddie Crawford,12,https://www.basketball-reference.com/players/c/crawffr01.html
1969,Johnny Egan,21,https://www.basketball-reference.com/players/e/eganjo01.html
1969,Keith Erickson,24,https://www.basketball-reference.com/players/e/erickke01.html
1969,Tom Hawkins,33,https://www.basketball-reference.com/players/h/hawkito01.html
1969,Bill Hewitt,30,https://www.basketball-reference.com/players/h/hewitbi01.html
1969,Jerry West,44,https://www.basketball-reference.com/players/w/westje01.html
1970,Elgin Baylor,22,https://www.basketball-reference.com/players/b/bayloel01.html
1970,Wilt Chamberlain,13,https://www.basketball-reference.com/players/c/chambwi01.html
1970,Mel Counts,31,https://www.basketball-reference.com/players/c/countme01.html
1970,Johnny Egan,21,https://www.basketball-reference.com/players/e/eganjo01.html
1970,Keith Erickson,24,https://www.basketball-reference.com/players/e/erickke01.html
1970,Dick Garrett,20,https://www.basketball-reference.com/players/g/garredi01.html
1970,Happy Hairston,52,https://www.basketball-reference.com/players/h/hairsha01.html
1970,Bill Hewitt,30,https://www.basketball-reference.com/players/h/hewitbi01.html
1970,Mike Lynn,33,https://www.basketball-reference.com/players/l/lynnmi01.html
1970,Willie McCarter,15,https://www.basketball-reference.com/players/m/mccarwi01.html
1970,Rick Roberson,35,https://www.basketball-reference.com/players/r/roberri01.html
1970,John Tresvant,14,https://www.basketball-reference.com/players/t/tresvjo01.html
1970,Jerry West,44,https://www.basketball-reference.com/players/w/westje01.html
1971,Elgin Baylor,22,https://www.basketball-reference.com/players/b/bayloel01.html
1971,Wilt Chamberlain,13,https://www.basketball-reference.com/players/c/chambwi01.html
1971,Keith Erickson,24,https://www.basketball-reference.com/players/e/erickke01.html
1971,Gail Goodrich,25,https://www.basketball-reference.com/players/g/goodrga01.html
1971,Happy Hairston,52,https://www.basketball-reference.com/players/h/hairsha01.html
1971,Fred Hetzel,30,https://www.basketball-reference.com/players/h/hetzefr01.html
1971,Earnie Killum,20,https://www.basketball-reference.com/players/k/killuea01.html
1971,Willie McCarter,15,https://www.basketball-reference.com/players/m/mccarwi01.html
1971,Jim McMillian,5,https://www.basketball-reference.com/players/m/mcmilji01.html
1971,Pat Riley,12,https://www.basketball-reference.com/players/r/rileypa01.html
1971,Rick Roberson,35,https://www.basketball-reference.com/players/r/roberri01.html
1971,John Tresvant,14,https://www.basketball-reference.com/players/t/tresvjo01.html
1971,Jerry West,44,https://www.basketball-reference.com/players/w/westje01.html
1972,Elgin Baylor,22,https://www.basketball-reference.com/players/b/bayloel01.html
