player_name,number,height_cm
Marvin Bagley III,C,
Buddy Boeheim,SF,
Bojan BogdanoviÄ,PF,
Troy Brown Jr.,SF,
Alec Burks,SG,
Malcolm Cazalon,SG,
Cade Cunningham,PG,
Jalen Duren,C,
Tosan Evbuomwan,SF,
Malachi Flynn,PG,
Simone Fontecchio,SF,
Evan Fournier,SG,
Danilo Gallinari,SF,
Taj Gibson,PF,
Quentin Grimes,SG,
Joe Harris,SG,
Killian Hayes,PG,
Jaden Ivey,SG,
Kevin Knox,SF,
Isaiah Livers,PF,
Chimezie Metu,C,
Shake Milton,SG,
Monte Morris,PG,
Mike Muscala,C,
Jaylen Nowell,SG,
Jared Rhoden,SG,
Marcus Sasser,PG,
Isaiah Stewart,PF,
Ausar Thompson,SF,
Stanley Umude,SG,
James Wiseman,C,
