player_name,number,height_cm
Mo Bamba,C,
Malik Beasley,SG,
Patrick Beverley,SG,
Sterling Brown,SF,
Troy Brown Jr.,SF,
Thomas Bryant,C,
Max Christie,SG,
Anthony Davis,C,
Wenyen Gabriel,C,
Rui Hachimura,PF,
Shaquille Harrison,SG,
LeBron James,PF,
Damian Jones,C,
Kendrick Nunn,SG,
Scotty Pippen Jr.,PG,
Austin Reaves,SG,
Davon Reed,SG,
D'Angelo Russell,PG,
Matt Ryan,SF,
Dennis Schr̦der,PG,
Cole Swider,SF,
Tristan Thompson,C,
Juan Toscano-Anderson,SF,
Jarred Vanderbilt,PF,
Lonnie Walker IV,SG,
Russell Westbrook,PG,
