player_name,number,height_cm
Arron Afflalo,SG,
Darrell Arthur,PF,
Will Barton,SG,
Wilson Chandler,SF,
Ian Clark,SG,
Kenneth Faried,PF,
Randy Foye,SG,
Jamaal Franklin,SG,
Danilo Gallinari,SF,
Alonzo Gee,SF,
Erick Green,PG,
Gary Harris,SG,
J.J. Hickson,C,
Joffrey Lauvergne,C,
Ty Lawson,PG,
JaVale McGee,C,
Timofey Mozgov,C,
Jameer Nelson,PG,
Jusuf NurkiÄ,C,
Nate Robinson,PG,
