player_name,number,height_cm
Santi Aldama,PF,
Timmy Allen,SF,
Desmond Bane,SG,
Bismack Biyombo,C,
Brandon Clarke,PF,
Tosan Evbuomwan,SF,
Wenyen Gabriel,PF,
Jacob Gilyard,PG,
Jordan Goodwin,PG,
Shaquille Harrison,SG,
Matthew Hurt,PF,
GG Jackson II,PF,
Jaren Jackson Jr.,C,
DeJon Jarreau,SG,
Trey Jemison,C,
Luke Kennard,SG,
John Konchar,SF,
Jake LaRavia,PF,
Kenneth Lofton Jr.,PF,
Ja Morant,PG,
Jaylen Nowell,SG,
Ṃozinha Pereira,SF,
Scotty Pippen Jr.,PG,
David Roddy,PF,
Derrick Rose,PG,
Zavier Simpson,PG,
Marcus Smart,PG,
Lamar Stevens,PF,
Xavier Tillman Sr.,C,
Yuta Watanabe,SF,
Jack White,SF,
Vince Williams Jr.,SG,
Ziaire Williams,SF,
