player_name,number,height_cm
Jordan Adams,SG,
Tony Allen,SG,
Chris Andersen,C,
Matt Barnes,SF,
Vince Carter,SG,
Mario Chalmers,PG,
Mike Conley,PG,
Bryce Cotton,PG,
James Ennis III,SF,
Jordan Farmar,PG,
Marc Gasol,C,
JaMychal Green,PF,
Jeff Green,SF,
P.J. Hairston,SF,
Ryan Hollins,C,
Courtney Lee,SG,
Jarell Martin,PF,
Ray McCallum,PG,
Xavier Munford,SG,
Zach Randolph,PF,
Russ Smith,PG,
Lance Stephenson,SF,
Alex Stepheson,PF,
Jarnell Stokes,C,
Beno Udrih,PG,
Briante Weber,PG,
Elliot Williams,PG,
Brandan Wright,PF,
