player_name,number,height_cm
Nicolas Batum,SF,
Patrick Beverley,PG,
Amir Coffey,SG,
DeMarcus Cousins,C,
Yogi Ferrell,PG,
Malik Fitts,PF,
Paul George,SF,
Serge Ibaka,C,
Reggie Jackson,SG,
Mfiondu Kabengele,PF,
Luke Kennard,SG,
Kawhi Leonard,SF,
Terance Mann,SG,
Marcus Morris,PF,
Daniel Oturu,C,
Patrick Patterson,PF,
Rajon Rondo,PG,
Jay Scrubb,SG,
Lou Williams,PG,
Ivica Zubac,C,
