player_name,number,height_cm
Darius Bazley,PF,
Gabriel Deck,PF,
Mamadi Diakite,PF,
Luguentz Dort,SG,
Rob Edwards,SG,
Derrick Favors,C,
Melvin Frazier,SG,
Josh Giddey,SF,
Shai Gilgeous-Alexander,PG,
Jaylen Hoard,SF,
Scotty Hopson,SG,
Ty Jerome,SG,
Georgios Kalaitzakis,SF,
Vit Krejci,SG,
Th̩o Maledon,PG,
Tre Mann,PG,
Mike Muscala,C,
Aleksej Pokusevski,PF,
Jeremiah Robinson-Earl,C,
Isaiah Roby,PF,
Olivier Sarr,C,
Zavier Simpson,PG,
Lindy Waters III,SG,
Paul Watson,SF,
Aaron Wiggins,SG,
Kenrich Williams,SF,
